invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-37942300007,6/30/2021,4901,Fareway Stores #137 / Polk City,1101 S 5th St,Polk City,50226,POINT (-93.719323 41.763876),77,POLK,1031100,American Vodkas,301,FIFTH GENERATION INC,38194,Titos Handmade Vodka Mini,5,50,12.8,19.2,5,96,0.25,0.06
INV-41884500009,11/11/2021,5000,Casey's General Store #3319 / Nevada,1800 South B Ave,Nevada,50201,POINT (-93.435912 42.009808),85,STORY,1081400,American Schnapps,421,SAZERAC COMPANY  INC,84172,99 Bananas Mini,10,50,5.16,7.74,10,77.4,0.5,0.13
INV-35831500082,4/15/2021,3704,Celtics Beverage Company,1122 Broadway,Emmetsburg,50536,POINT (-94.678807 43.10937),74,PALO ALTO,1051100,American Brandies,434,LUXCO INC,55087,Paramount Blackberry Brandy,12,1000,6.53,9.8,6,58.8,6,1.58
INV-33359400041,1/11/2021,3417,Big G Food Store,Po Box 261  310 W Dillon,Marengo,52301,,48,IOWA,1081200,Cream Liqueurs,130,DISARONNO INTERNATIONAL,68222,Disaronno Velvet Cream Liqueur,12,750,16.53,24.8,2,49.6,1.5,0.39
INV-42443700117,11/30/2021,2666,Hy-Vee Food Store #2 / State Ankeny,2510 SW State St,Ankeny,50023,POINT (-93.621824 41.705188),77,POLK,1071100,Cocktails /RTD,395,PROXIMO,59163,1800 Ultimate Watermelon Margarita,6,1750,10.04,15.06,6,90.36,10.5,2.77
INV-37775300009,6/24/2021,4438,Kum & Go #214  Ames,111 Duff Ave,Ames,50010,POINT (-93.610396 42.023592),85,STORY,1011100,Blended Whiskies,255,Infinium Spirits,87035,Skrewball Peanut Butter Whiskey Mini,12,50,14,21,2,42,0.1,0.02
INV-34489200049,2/22/2021,5116,New Star Mart  /  Newton,"702, 1st Ave E",Newton,50702,POINT (-93.04551500000001 41.69943),94,Webster,1022100,Mixto Tequila,395,PROXIMO,87410,Jose Cuervo Especial Silver,6,1750,21.5,32.25,3,96.75,5.25,1.38
INV-35039900015,3/16/2021,5857,EZ Stop II - Dubuque,700 Rhomberg Avenue,Dubuque,52001,POINT (-90.663494 42.515732),31,DUBUQUE,1031100,American Vodkas,260,DIAGEO AMERICAS,37994,Smirnoff 80prf,24,375,4.75,7.13,12,85.56,4.5,1.18
INV-38356600180,7/15/2021,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1022100,Mixto Tequila,434,LUXCO INC,89447,La Prima Gold,12,1000,7.34,11.01,60,660.6,60,15.85
INV-37111300031,6/2/2021,5416,Depot Liquor & Grocery,114 N Center St.,Marshalltown,50158,POINT (-92.912975 42.051619),64,MARSHALL,1081300,American Cordials & Liqueur,55,SAZERAC NORTH AMERICA,84187,99 Cinnamon,48,100,0.95,1.43,48,68.64,4.8,1.26
INV-33642900003,1/20/2021,3390,Okoboji Avenue Liquor,1610 Okoboji Avenue,Milford,51351,POINT (-95.149955 43.331525),30,DICKINSON,1062500,Flavored Rum,260,DIAGEO AMERICAS,72928,Captain Morgan Sliced Apple,12,750,9.06,13.59,24,326.16,18,4.75
INV-41660000029,11/4/2021,2651,Hy-Vee / Waverly,1311 4 Street SW,Waverly,50677,POINT (-92.475403 42.712263),9,BREMER,1062400,Spiced Rum,260,DIAGEO AMERICAS,43316,Captain Morgan Private Stock,12,750,11.99,17.99,24,431.76,18,4.75
INV-32377700031,12/2/2020,3525,Wines and Spirits,106 W 2nd St,Washington,52353,POINT (-91.692214 41.300399),92,WASHINGTON,1081200,Cream Liqueurs,259,Heaven Hill Brands,68128,Carolans Irish Cream,6,1750,16,24,1,24,1.75,0.46
INV-33905300049,1/29/2021,5327,Mega Saver,3540 W Broadway,Council Bluffs,51501,POINT (-95.903763 41.261907),78,POTTAWATTA,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8,24,192,9,2.37
INV-41695900055,11/5/2021,4291,Fareway Stores #597 / Creston,105 E Adams St,Creston,50801,,88,UNION,1082000,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65256,Jagermeister Liqueur,12,750,13,19.5,3,58.5,2.25,0.59
INV-35376600025,3/29/2021,2567,Hy-Vee Drugstore / Davenport,2200 West Kimberly,Davenport,52806,POINT (-90.608201 41.560663),82,SCOTT,1031100,American Vodkas,380,Phillips Beverage,37663,Row Vodka,12,750,6.3,9.45,6,56.7,4.5,1.18
INV-34644800033,3/1/2021,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 First Avenue NE,Cedar Rapids,52402,POINT (-91.650755 41.988967),57,LINN,1062100,Gold Rum,434,LUXCO INC,45248,Paramount Gold Rum,6,1750,7.5,11.25,6,67.5,10.5,2.77
INV-35529600024,4/2/2021,5936,CJ's Convenience Store / Elkader,107 1st St SW,Elkader,52043,POINT (-91.405293 42.85389),22,CLAYTON,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,28279,Jim Beam Peach,12,750,10.5,15.75,5,78.75,3.75,0.99
